Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
25950723,912,7263,11/01/2023 00:00,Walton St / Elizabeth St - SMART,7176,11/01/2023 00:15,Bathurst St / Fort York Blvd,253,Casual Member
25950734,217,7418,11/01/2023 00:03,College Park - Yonge St Entrance,7055,11/01/2023 00:06,Jarvis St / Carlton St,3389,Casual Member
25950744,239,7153,11/01/2023 00:05,Bloor St W / Christie St,7691,11/01/2023 00:09,NULL,7550,Casual Member
25950752,918,7044,11/01/2023 00:06,Church St / Alexander St,7078,11/01/2023 00:22,College St / Major St,6011,Casual Member
25950802,628,7089,11/01/2023 00:15,Church St  / Wood St,7053,11/01/2023 00:25,Metro Hall Plaza,3926,Casual Member
25950832,900,7061,11/01/2023 00:20,Dalton Rd / Bloor St W,7270,11/01/2023 00:35,Church St / Dundas St E - SMART,7307,Casual Member
25950842,718,7452,11/01/2023 00:22,Bleecker St / St James Ave,7798,11/01/2023 00:34,NULL,5116,Casual Member
25950899,505,7041,11/01/2023 00:37,Edward St / Yonge St,7127,11/01/2023 00:45,Bay St / Scollard St,6189,Casual Member
25950978,654,7272,11/01/2023 01:01,Yonge St / Dundonald St - SMART,7815,11/01/2023 01:12,NULL,6532,Casual Member
25950987,438,7567,11/01/2023 01:05,Weston Lions Park,7859,11/01/2023 01:12,NULL,5987,Casual Member
25951008,551,7281,11/01/2023 01:14,Charles St W / Balmuto St - SMART,7155,11/01/2023 01:23,Bathurst St / Lennox St,3013,Casual Member
25951009,471,7206,11/01/2023 01:14,Claremont St / Dundas St W,7049,11/01/2023 01:22,Queen St W / Portland St,747,Casual Member
25951023,2,7063,11/01/2023 01:17,Queen's Park / Bloor St W,7003,11/01/2023 01:17,Madison Ave / Bloor St W,3527,Casual Member
25951038,548,7114,11/01/2023 01:24,Carlton St / Parliament St,7724,11/01/2023 01:33,NULL,1387,Casual Member
