Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
21248760,262,7030,05/01/2023 00:07,Bay St / Wellesley St W,7389,05/01/2023 00:11,College Park- Gerrard Entrance,5575,Casual Member
21248818,1753,7720,05/01/2023 00:25,NULL,7175,05/01/2023 00:54,HTO Park (Queens Quay W),3816,Casual Member
21248819,1746,7720,05/01/2023 00:26,NULL,7175,05/01/2023 00:55,HTO Park (Queens Quay W),996,Casual Member
21248825,1689,7720,05/01/2023 00:26,NULL,7175,05/01/2023 00:54,HTO Park (Queens Quay W),5640,Casual Member
21248874,464,7038,05/01/2023 00:40,Dundas St W / Yonge St,7101,05/01/2023 00:48,Lower Sherbourne St / The Esplanade,1167,Casual Member
21249007,3936,7175,05/01/2023 01:39,HTO Park (Queens Quay W),7022,05/01/2023 02:44,Simcoe St / Queen St W,996,Casual Member
21249046,429,7003,05/01/2023 02:03,Madison Ave / Bloor St W,7246,05/01/2023 02:10,Yonge St / Bloor St,2334,Casual Member
21249103,4148,7202,05/01/2023 02:34,Queen St W / York St (City Hall),7202,05/01/2023 03:43,Queen St W / York St (City Hall),2121,Casual Member
21249125,1169,7719,05/01/2023 02:44,NULL,7156,05/01/2023 03:04,Salem Ave / Bloor St W,87,Casual Member
21249161,247,7271,05/01/2023 03:04,Yonge St / Alexander St - SMART,7634,05/01/2023 03:08,University Ave / Gerrard St W (WEST) - SMART,5224,Casual Member
21249463,441,7109,05/01/2023 05:52,Seaton St / Dundas St E - SMART,7271,05/01/2023 05:59,Yonge St / Alexander St - SMART,6438,Annual Member
21249553,466,7007,05/01/2023 06:24,College St / Huron St,7469,05/01/2023 06:32,Wellington St W / York St,4693,Casual Member
21249556,542,7138,05/01/2023 06:24,Davenport Rd / Christie St,7640,05/01/2023 06:33,Spadina Rd / St.Clair Ave West,6590,Casual Member
21249559,559,7161,05/01/2023 06:25,Beverley St / College St,7253,05/01/2023 06:34,John St  / Mercer St - SMART,2636,Annual Member
21249602,510,7176,05/01/2023 06:34,Bathurst St / Fort York Blvd,7169,05/01/2023 06:43,Front St W / Bay St (North Side),5037,Casual Member
21249614,1711,7251,05/01/2023 06:36,The Royal Ontario Museum (Bloor St Entrance),7194,05/01/2023 07:05,Mortimer Ave / Coxwell Ave,5614,Casual Member
21249632,469,7668,05/01/2023 06:39,Simcoe St / Dundas St W - SMART,7272,05/01/2023 06:47,Yonge St / Dundonald St - SMART,7210,Annual Member
21249655,880,7158,05/01/2023 06:43,King St W / Stafford St,7168,05/01/2023 06:58,Queens Quay / Yonge St,3570,Casual Member
21249678,136,7346,05/01/2023 06:47,Logan Av / Gerrard St E,7346,05/01/2023 06:49,Logan Av / Gerrard St E,6789,Casual Member
21249695,200,7721,05/01/2023 06:49,NULL,7720,05/01/2023 06:52,NULL,2900,Casual Member
21249702,114,7050,05/01/2023 06:50,Richmond St E / Jarvis St Green P,7406,05/01/2023 06:52,Victoria St / Queen St E,6358,Casual Member
21249735,362,7000,05/01/2023 06:54,Fort York  Blvd / Capreol Ct,7468,05/01/2023 07:00,Front St / Simcoe St,1163,Casual Member
21249767,571,7251,05/01/2023 06:59,The Royal Ontario Museum (Bloor St Entrance),7012,05/01/2023 07:09,Elizabeth St / Edward St (Bus Terminal),1840,Annual Member
21249821,315,7235,05/01/2023 07:07,Bay St / College St (West Side) - SMART,7052,05/01/2023 07:13,Wellington St W / Bay St,3834,Casual Member
21249823,449,7717,05/01/2023 07:07,NULL,7322,05/01/2023 07:15,King St W / Brant St,3042,Casual Member
21249826,1802,7073,05/01/2023 07:08,Spadina Ave / Fort York Blvd,7073,05/01/2023 07:38,Spadina Ave / Fort York Blvd,1570,Casual Member
21249828,387,7473,05/01/2023 07:08,Adelaide St W / Strachan Ave,7037,05/01/2023 07:15,Bathurst St / Dundas St W,3389,Casual Member
21249902,303,7422,05/01/2023 07:16,Tyndall Ave / King St W - SMART,7243,05/01/2023 07:21,Exhibition GO Station,3924,Casual Member
