Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
20809591,962,7542,04/01/2023 00:04,Queen St W / John St,7210,04/01/2023 00:20,Mary McCormick Rec Centre (Sheridan Ave),4757,Casual Member
20809597,557,7391,04/01/2023 00:06,Yonge St / Dundas Sq,7281,04/01/2023 00:16,Charles St W / Balmuto St - SMART,5781,Annual Member
20809606,277,7126,04/01/2023 00:08,Yonge St / Yorkville Ave,7246,04/01/2023 00:13,Yonge St / Bloor St,432,Casual Member
20809609,456,7189,04/01/2023 00:09,Augusta Ave / Denison Sq,7719,04/01/2023 00:16,NULL,4950,Casual Member
20809619,698,7058,04/01/2023 00:12,Huron/ Harbord St,7391,04/01/2023 00:24,Yonge St / Dundas Sq,3765,Casual Member
20809670,793,7283,04/01/2023 00:33,Front St W / Bay St (South Side),7267,04/01/2023 00:46,Dundas St E / Pembroke St - SMART,2602,Annual Member
20809678,1800,7257,04/01/2023 00:37,Dundas St W / St. Patrick St,7770,04/01/2023 01:07,NULL,2342,Casual Member
20809773,205,7124,04/01/2023 01:42,Dundas St E / Broadview Ave,7570,04/01/2023 01:46,Carlaw Ave / Dundas St E,6388,Annual Member
20809845,1316,7018,04/01/2023 03:00,Bremner Blvd / Rees St,7770,04/01/2023 03:22,NULL,4678,Casual Member
20809905,504,7206,04/01/2023 04:48,Claremont St / Dundas St W,7682,04/01/2023 04:56,NULL,5564,Casual Member
20809937,230,7298,04/01/2023 05:55,Bathurst St / Adelaide St W,7260,04/01/2023 05:59,Spadina Ave / Adelaide St W,1523,Casual Member
20809984,1188,7042,04/01/2023 06:54,Sherbourne St / Wellesley St E,7260,04/01/2023 07:14,Spadina Ave / Adelaide St W,4528,Casual Member
20810031,1303,7100,04/01/2023 07:34,Dundas St E / Regent Park Blvd,7203,04/01/2023 07:56,Bathurst St/Queens Quay(Billy Bishop Airport),2882,Annual Member
20810045,737,7418,04/01/2023 07:38,College Park - Yonge St Entrance,7023,04/01/2023 07:51,College St / Borden St,5650,Annual Member
20810081,498,7289,04/01/2023 07:52,Humber Bay Shores Park East,7514,04/01/2023 08:00,Humber Bay Shores Park / Marine Parade Dr,3423,Casual Member
20810113,232,7404,04/01/2023 08:05,Roehampton Ave / Mount Pleasant Rd,7381,04/01/2023 08:09,Yonge St / Orchard View Blvd,3256,Casual Member
20810122,462,7259,04/01/2023 08:06,Lower Spadina Ave / Lake Shore Blvd,7260,04/01/2023 08:14,Spadina Ave / Adelaide St W,1677,Casual Member
20810124,1279,7683,04/01/2023 08:07,NULL,7054,04/01/2023 08:28,Navy Wharf Ct. / Bremner Blvd.,2791,Casual Member
20810161,1341,7387,04/01/2023 08:20,Mortimer Ave / Carlaw Ave SMART,7315,04/01/2023 08:43,Queen St E / Hammersmith Ave,257,Casual Member
20810213,353,7458,04/01/2023 08:32,Church St / Lombard St,7432,04/01/2023 08:38,Frederick St / King St E,3700,Casual Member
20810216,338,7001,04/01/2023 08:32,Wellesley Station Green P,7457,04/01/2023 08:38,Queen's Park Cres W / Hoskin Ave,3930,Casual Member
20810262,414,7350,04/01/2023 08:43,Broadview Ave / Westwood Ave,7097,04/01/2023 08:50,Riverdale Park North (Broadview Ave),4621,Annual Member
20810266,658,7385,04/01/2023 08:44,20 Charles St E,7015,04/01/2023 08:55,King St W / Bay St (West Side),6756,Casual Member
20810269,491,7582,04/01/2023 08:44,Alameda Ave / Vaughan Rd - SMART,7632,04/01/2023 08:52,Chiltern Hill Rd / Eglinton Ave W,5278,Casual Member
20810332,952,7463,04/01/2023 08:56,Adelaide St W / Brant St,7576,04/01/2023 09:12,Front St E / Bayview Avenue,7090,Casual Member
20810375,130,7398,04/01/2023 09:03,York St / Lakeshore St W - South,7321,04/01/2023 09:06,Front St W / University Ave (2),1130,Casual Member
20810391,523,7280,04/01/2023 09:05,Charles St E / Jarvis St - SMART,7391,04/01/2023 09:14,Yonge St / Dundas Sq,5649,Casual Member
20810421,570,7111,04/01/2023 09:11,King St W / Douro St,7533,04/01/2023 09:20,Housey St / Dan Leckie Way,306,Casual Member
20810429,987,7385,04/01/2023 09:11,20 Charles St E,7281,04/01/2023 09:28,Charles St W / Balmuto St - SMART,2278,Casual Member
20810436,603,7240,04/01/2023 09:12,Bloor St W / Shaw Ave - SMART,7367,04/01/2023 09:22,Alma Ave / Gladstone Ave SMART,112,Casual Member
20810463,1435,7749,04/01/2023 09:19,NULL,7224,04/01/2023 09:43,Bloor St W / High Park Ave (High Park),3494,Casual Member
20810503,460,7291,04/01/2023 09:26,190 Queens Quay E,7074,04/01/2023 09:34,King St E / Church St,5481,Casual Member
20810519,209,7211,04/01/2023 09:28,Fort York Blvd / Garrison Rd,7216,04/01/2023 09:31,Wellington St W / Stafford St,84,Annual Member
20810533,550,7322,04/01/2023 09:30,King St W / Brant St,7000,04/01/2023 09:39,Fort York  Blvd / Capreol Ct,6311,Casual Member
20810567,561,7719,04/01/2023 09:34,NULL,7406,04/01/2023 09:43,Victoria St / Queen St E,6206,Annual Member
20810584,199,7311,04/01/2023 09:36,Sherbourne St / Isabella St,7280,04/01/2023 09:39,Charles St E / Jarvis St - SMART,2571,Casual Member
20810620,1988,7531,04/01/2023 09:41,541 Huron St - SMART,7077,04/01/2023 10:14,College Park South,6841,Casual Member
20810628,677,7365,04/01/2023 09:42,Kew Beach Ave / Kenilworth Ave,7309,04/01/2023 09:53,Queen St. E / Rhodes Ave.,3327,Casual Member
20810638,456,7196,04/01/2023 09:43,Roxton Rd / Harbord St,7420,04/01/2023 09:51,Barton St / Howland St - SMART,6969,Casual Member
20810640,661,7027,04/01/2023 09:43,Beverley  St / Dundas St W,7114,04/01/2023 09:54,Carlton St / Parliament St,807,Casual Member
20810714,1193,7514,04/01/2023 09:49,Humber Bay Shores Park / Marine Parade Dr,7701,04/01/2023 10:09,NULL,896,Casual Member
20810727,613,7303,04/01/2023 09:50,Queen St E / Woodward Ave,7318,04/01/2023 10:01,Hubbard Blvd. / Glen Manor Dr.,2587,Casual Member
20810756,869,7430,04/01/2023 09:53,Marilyn Bell Park Tennis Court,7224,04/01/2023 10:08,Bloor St W / High Park Ave (High Park),3358,Casual Member
20810778,750,7657,04/01/2023 09:56,1 Market St - SMART,7047,04/01/2023 10:09,University Ave / Gerrard St W (East Side),5816,Casual Member
20810779,311,7466,04/01/2023 09:56,Glendonwynne Ave / Bloor St W,7224,04/01/2023 10:01,Bloor St W / High Park Ave (High Park),3112,Casual Member
20810803,428,7276,04/01/2023 09:58,Bloor St W / Balmuto St,7164,04/01/2023 10:05,Gould St / Yonge St (Ryerson University),2622,Annual Member
20810820,847,7317,04/01/2023 10:00,Hubbard Blvd / Balsam Av,7309,04/01/2023 10:14,Queen St. E / Rhodes Ave.,3108,Casual Member
20810851,747,7691,04/01/2023 10:04,NULL,7582,04/01/2023 10:16,Alameda Ave / Vaughan Rd - SMART,5992,Annual Member
20810852,691,7505,04/01/2023 10:04,Ontario St / Adelaide St E -SMART,7570,04/01/2023 10:15,Carlaw Ave / Dundas St E,5698,Annual Member
