Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
26395721,795,7810,12/01/2023 00:06,NULL,7270,12/01/2023 00:19,Church St / Dundas St E - SMART,6269,Casual Member
26395766,302,7025,12/01/2023 00:12,Ted Rogers Way / Bloor St E,7121,12/01/2023 00:17,Jarvis St / Dundas St E,6185,Casual Member
26395779,711,7260,12/01/2023 00:14,Spadina Ave / Adelaide St W,7199,12/01/2023 00:26,College St / Markham St,4256,Casual Member
26395780,551,7017,12/01/2023 00:14,Widmer St / Adelaide St W,7046,12/01/2023 00:24,Niagara St / Richmond St W,4021,Casual Member
26395786,791,7040,12/01/2023 00:16,Euclid Ave / Bloor St W,7000,12/01/2023 00:29,Fort York  Blvd / Capreol Ct,3520,Casual Member
26395828,763,7431,12/01/2023 00:23,Gerrard St E / Leslie St,7095,12/01/2023 00:36,Danforth Ave / Ellerbeck St,4036,Casual Member
26395871,789,7386,12/01/2023 00:35,D'Arcy St. /McCaul St. SMART,7002,12/01/2023 00:48,St. George St / Bloor St W,4255,Casual Member
26395878,1212,7095,12/01/2023 00:37,Danforth Ave / Ellerbeck St,7040,12/01/2023 00:57,Euclid Ave / Bloor St W,4036,Casual Member
26395900,594,7046,12/01/2023 00:42,Niagara St / Richmond St W,7061,12/01/2023 00:52,Dalton Rd / Bloor St W,4021,Casual Member
26395912,400,7770,12/01/2023 00:44,NULL,7639,12/01/2023 00:51,135 Queens Wharf  - SMART,6332,Casual Member
26395948,443,7044,12/01/2023 01:00,Church St / Alexander St,7703,12/01/2023 01:08,NULL,4002,Casual Member
26395952,170,7089,12/01/2023 01:02,Church St  / Wood St,NULL,12/01/2023 01:05,NULL,5471,Casual Member
26395972,677,7281,12/01/2023 01:09,Charles St W / Balmuto St - SMART,7155,12/01/2023 01:21,Bathurst St / Lennox St,5669,Casual Member
26395974,598,7474,12/01/2023 01:11,Clarence Square,7821,12/01/2023 01:21,NULL,2984,Casual Member
26395975,558,7713,12/01/2023 01:11,NULL,7059,12/01/2023 01:21,Front St W / Blue Jays Way,6503,Casual Member
26396010,214,7031,12/01/2023 01:23,Jarvis St / Isabella St,7292,12/01/2023 01:27,Granby St / Church St - SMART,5756,Casual Member
26396015,465,7001,12/01/2023 01:26,Wellesley Station Green P,7508,12/01/2023 01:33,Berkeley St / Dundas St E - SMART,3105,Casual Member
26396017,678,7038,12/01/2023 01:26,Dundas St W / Yonge St,7810,12/01/2023 01:38,NULL,2880,Casual Member
26396029,1263,7666,12/01/2023 01:28,Dundas St W / St Helen Ave - SMART,7858,12/01/2023 01:49,NULL,1201,Casual Member
26396045,604,7022,12/01/2023 01:33,Simcoe St / Queen St W,7163,12/01/2023 01:43,Yonge St / Wood St,3125,Casual Member
26396080,346,7029,12/01/2023 01:54,Bay St / Bloor St W (East Side),7257,12/01/2023 02:00,Dundas St W / St. Patrick St,3108,Casual Member
26396117,1003,7311,12/01/2023 02:18,Sherbourne St / Isabella St,7324,12/01/2023 02:35,King St W / Charlotte St (West Side),4859,Casual Member
26396118,989,7285,12/01/2023 02:18,Spadina Ave / Harbord St - SMART,7768,12/01/2023 02:35,NULL,1346,Casual Member
26396145,1076,7044,12/01/2023 02:29,Church St / Alexander St,7270,12/01/2023 02:47,Church St / Dundas St E - SMART,1314,Casual Member
26396168,673,7693,12/01/2023 02:42,NULL,7161,12/01/2023 02:53,Beverley St / College St,7857,Casual Member
26396200,342,7143,12/01/2023 03:02,Kendal Ave / Bernard Ave,7130,12/01/2023 03:08,Davenport Rd / Bedford Rd,990,Casual Member
26396287,947,7269,12/01/2023 04:21,Toronto Eaton Centre (Yonge St),7269,12/01/2023 04:37,Toronto Eaton Centre (Yonge St),71,Casual Member
26396295,808,7239,12/01/2023 04:28,Bloor St W / Manning Ave - SMART,7280,12/01/2023 04:42,Charles St E / Jarvis St - SMART,5717,Casual Member
26396304,600,7708,12/01/2023 04:43,NULL,7093,12/01/2023 04:53,Danforth Ave / Gough Ave,7854,Casual Member
26396361,250,7441,12/01/2023 05:37,Pacific Ave / Glenlake Ave,7641,12/01/2023 05:41,Annette St / Dundas W,3632,Casual Member
26396390,516,7111,12/01/2023 05:55,King St W / Douro St,7323,12/01/2023 06:04,457 King St. W. at Spadina,3716,Casual Member
26396402,593,7779,12/01/2023 06:02,NULL,7378,12/01/2023 06:12,Yonge St / Davisville Ave,338,Casual Member
26396419,388,7030,12/01/2023 06:11,Bay St / Wellesley St W,7713,12/01/2023 06:17,NULL,733,Casual Member
26396461,1188,7338,12/01/2023 06:26,Logan Ave / Bain Ave,7344,12/01/2023 06:46,Cherry Beach,1587,Casual Member
26396469,363,7796,12/01/2023 06:28,NULL,7660,12/01/2023 06:34,285 Victoria St,5972,Casual Member
26396484,565,7126,12/01/2023 06:31,Yonge St / Yorkville Ave,7023,12/01/2023 06:41,College St / Borden St,3325,Casual Member
26396563,9976,7632,12/01/2023 06:44,Chiltern Hill Rd / Eglinton Ave W,7865,12/01/2023 09:31,NULL,7879,Casual Member
26396566,600,7285,12/01/2023 06:45,Spadina Ave / Harbord St - SMART,7720,12/01/2023 06:55,NULL,4728,Casual Member
26396576,153,7061,12/01/2023 06:47,Dalton Rd / Bloor St W,7285,12/01/2023 06:50,Spadina Ave / Harbord St - SMART,936,Casual Member
26396612,210,7771,12/01/2023 06:54,NULL,7527,12/01/2023 06:58,Joseph J Piccininni Community Centre,3069,Casual Member
26396623,314,7311,12/01/2023 06:57,Sherbourne St / Isabella St,7126,12/01/2023 07:02,Yonge St / Yorkville Ave,1473,Casual Member
26396676,450,7524,12/01/2023 07:07,Lisgar Park,7322,12/01/2023 07:14,King St W / Brant St,3701,Casual Member
26396685,362,7245,12/01/2023 07:10,Tecumseth St / Queen St W - SMART,7284,12/01/2023 07:16,University Ave / King St W - SMART,7296,Casual Member
26396689,260,7163,12/01/2023 07:10,Yonge St / Wood St,7014,12/01/2023 07:15,Sherbourne St / Carlton St (Allan Gardens),619,Casual Member
26396692,488,7199,12/01/2023 07:11,College St / Markham St,7502,12/01/2023 07:19,University Ave / College St (East),802,Casual Member
26396711,379,7717,12/01/2023 07:14,NULL,7017,12/01/2023 07:20,Widmer St / Adelaide St W,5353,Casual Member
26396714,590,7299,12/01/2023 07:16,Mill St / Parliament St,7053,12/01/2023 07:25,Metro Hall Plaza,4382,Casual Member
26396721,533,7073,12/01/2023 07:16,Spadina Ave / Fort York Blvd,7148,12/01/2023 07:25,King St W / Joe Shuster Way,4571,Casual Member
26396732,1024,7716,12/01/2023 07:17,NULL,7007,12/01/2023 07:35,College St / Huron St,611,Casual Member
26396751,485,7102,12/01/2023 07:21,Nelson St / Duncan St,7163,12/01/2023 07:29,Yonge St / Wood St,3970,Casual Member
26396756,1857,7431,12/01/2023 07:21,Gerrard St E / Leslie St,7078,12/01/2023 07:52,College St / Major St,6533,Casual Member
26396794,847,7260,12/01/2023 07:28,Spadina Ave / Adelaide St W,7506,12/01/2023 07:42,Berkeley St / Adelaide St E - SMART,3741,Casual Member
26396799,1129,7192,12/01/2023 07:29,Harbord St / Clinton St,7496,12/01/2023 07:48,Sunnyside Ave / The Queensway - SMART,6981,Casual Member
26396886,1130,7157,12/01/2023 07:38,Dufferin St / Bloor St,7250,12/01/2023 07:57,St. George St / Russell St - SMART,7009,Casual Member
26396939,481,7024,12/01/2023 07:43,Dundonald St / Church St,7045,12/01/2023 07:51,Bond St / Queen St E,6455,Casual Member
26396948,315,7143,12/01/2023 07:43,Kendal Ave / Bernard Ave,7129,12/01/2023 07:49,Davenport Rd / Avenue Rd,990,Casual Member
26396973,292,7045,12/01/2023 07:45,Bond St / Queen St E,7292,12/01/2023 07:50,Granby St / Church St - SMART,5855,Casual Member
26396980,841,7410,12/01/2023 07:45,Howard St / Rose Ave,7462,12/01/2023 07:59,Richmond St E / Yonge St,466,Casual Member
26396989,607,7199,12/01/2023 07:46,College St / Markham St,7502,12/01/2023 07:56,University Ave / College St (East),5662,Casual Member
26397015,587,7796,12/01/2023 07:48,NULL,7012,12/01/2023 07:57,Elizabeth St / Edward St (Bus Terminal),4441,Casual Member
26397049,351,7657,12/01/2023 07:50,1 Market St - SMART,7462,12/01/2023 07:56,Richmond St E / Yonge St,3378,Casual Member
26397059,354,7462,12/01/2023 07:51,Richmond St E / Yonge St,7542,12/01/2023 07:57,Queen St W / John St,6345,Casual Member
26397076,327,7102,12/01/2023 07:52,Nelson St / Duncan St,7047,12/01/2023 07:58,University Ave / Gerrard St W (East Side),7264,Casual Member
26397135,556,7682,12/01/2023 07:56,NULL,7015,12/01/2023 08:05,King St W / Bay St (West Side),2877,Casual Member
26397151,820,7124,12/01/2023 07:58,Dundas St E / Broadview Ave,7005,12/01/2023 08:12,King St W / York St,2654,Casual Member
26397209,1244,7337,12/01/2023 08:02,Gerrard Square Mall (1010 Gerrard St E),7030,12/01/2023 08:22,Bay St / Wellesley St W,5306,Casual Member
26397238,515,7042,12/01/2023 08:04,Sherbourne St / Wellesley St E,7058,12/01/2023 08:13,Huron/ Harbord St,5197,Casual Member
26397244,649,7280,12/01/2023 08:05,Charles St E / Jarvis St - SMART,7066,12/01/2023 08:16,Willcocks St / St. George St,3686,Casual Member
26397246,638,7153,12/01/2023 08:05,Bloor St W / Christie St,7335,12/01/2023 08:16,Bay St / Bloor St W (West Side),5079,Casual Member
26397269,424,7033,12/01/2023 08:07,Union Station,7045,12/01/2023 08:14,Bond St / Queen St E,695,Casual Member
26397282,728,7161,12/01/2023 08:07,Beverley St / College St,7046,12/01/2023 08:19,Niagara St / Richmond St W,1356,Casual Member
26397300,401,7014,12/01/2023 08:09,Sherbourne St / Carlton St (Allan Gardens),7263,12/01/2023 08:15,Walton St / Elizabeth St - SMART,5433,Casual Member
26397346,293,7787,12/01/2023 08:13,NULL,7794,12/01/2023 08:17,NULL,8037,Casual Member
26397365,696,7148,12/01/2023 08:14,King St W / Joe Shuster Way,7411,12/01/2023 08:26,Little Norway Park,4571,Casual Member
26397374,833,7524,12/01/2023 08:15,Lisgar Park,7076,12/01/2023 08:28,York St / Queens Quay W,627,Casual Member
26397389,751,7176,12/01/2023 08:15,Bathurst St / Fort York Blvd,7284,12/01/2023 08:28,University Ave / King St W - SMART,6301,Casual Member
26397428,871,7149,12/01/2023 08:18,Yarmouth Rd / Christie St,7600,12/01/2023 08:32,Russell St / Huron St - SMART,416,Casual Member
26397509,268,7061,12/01/2023 08:23,Dalton Rd / Bloor St W,7543,12/01/2023 08:28,Nassau St / Bellevue Ave,1824,Casual Member
26397514,487,7175,12/01/2023 08:23,HTO Park (Queens Quay W),7686,12/01/2023 08:32,NULL,5591,Casual Member
26397548,801,7168,12/01/2023 08:26,Queens Quay / Yonge St,7647,12/01/2023 08:39,Elm St/ University Ave (East Side),5312,Casual Member
26397551,502,7054,12/01/2023 08:26,Navy Wharf Ct. / Bremner Blvd.,7048,12/01/2023 08:35,Front St W / Yonge St (Hockey Hall of Fame),6312,Casual Member
26397554,683,7199,12/01/2023 08:27,College St / Markham St,7246,12/01/2023 08:38,Yonge St / Bloor St,3136,Casual Member
26397555,1034,7452,12/01/2023 08:27,Bleecker St / St James Ave,7103,12/01/2023 08:44,Jimmie Simpson Park (Queen St E),2917,Casual Member
26397559,401,7692,12/01/2023 08:27,NULL,7486,12/01/2023 08:34,Gerrard St E / Ted Reeve Dr,7522,Casual Member
