Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
20554586,617,7246,03/01/2023 00:18,Yonge St / Bloor St,7003,03/01/2023 00:28,Madison Ave / Bloor St W,5251,Casual Member
20554599,192,7190,03/01/2023 00:27,St. George St / Hoskin Ave,7007,03/01/2023 00:30,College St / Huron St,2004,Casual Member
20554610,2232,7037,03/01/2023 00:32,Bathurst St / Dundas St W,7298,03/01/2023 01:09,Bathurst St / Adelaide St W,3380,Casual Member
20554613,852,7250,03/01/2023 00:35,St. George St / Russell St - SMART,7240,03/01/2023 00:49,Bloor St W / Shaw Ave - SMART,3042,Casual Member
20554627,176,7667,03/01/2023 00:47,Spadina Ave / Sussex Ave - SMART,7710,03/01/2023 00:50,NULL,6320,Casual Member
20554727,222,7269,03/01/2023 02:52,Toronto Eaton Centre (Yonge St),7713,03/01/2023 02:56,NULL,3270,Casual Member
20554730,147,7089,03/01/2023 03:02,Church St  / Wood St,7079,03/01/2023 03:04,McGill St / Church St,1961,Casual Member
20554743,1677,7399,03/01/2023 03:29,Lower Jarvis / Queens Quay E,7124,03/01/2023 03:57,Dundas St E / Broadview Ave,5946,Casual Member
20554748,1729,7684,03/01/2023 03:34,NULL,7475,03/01/2023 04:03,Jarvis St / Richmond St E,1390,Casual Member
20554768,581,7311,03/01/2023 04:15,Sherbourne St / Isabella St,7077,03/01/2023 04:25,College Park South,4285,Annual Member
20554790,281,7389,03/01/2023 05:07,College Park- Gerrard Entrance,7713,03/01/2023 05:11,NULL,5337,Annual Member
20554836,1162,7428,03/01/2023 05:54,Woodbine Ave / Lake Shore Blvd E,7570,03/01/2023 06:13,Carlaw Ave / Dundas St E,1802,Casual Member
20554838,810,7076,03/01/2023 05:55,York St / Queens Quay W,7274,03/01/2023 06:08,Queen's Park Cres E / Grosvenor St - SMART,2498,Casual Member
20554916,1230,7129,03/01/2023 06:37,Davenport Rd / Avenue Rd,7373,03/01/2023 06:58,George St / King St E,7237,Casual Member
20554987,735,7691,03/01/2023 07:04,NULL,7133,03/01/2023 07:16,Summerhill Station,2989,Annual Member
20555005,1122,7379,03/01/2023 07:08,Lawton Blvd / Yonge St,7382,03/01/2023 07:26,Simcoe St / Adelaide St W,7232,Casual Member
20555016,834,7023,03/01/2023 07:10,College St / Borden St,7129,03/01/2023 07:24,Davenport Rd / Avenue Rd,819,Casual Member
20555038,351,7027,03/01/2023 07:18,Beverley  St / Dundas St W,7038,03/01/2023 07:24,Dundas St W / Yonge St,735,Annual Member
20555071,1057,7541,03/01/2023 07:25,Bellwoods Ave / Treford Pl - SMART,7018,03/01/2023 07:43,Bremner Blvd / Rees St,1113,Casual Member
20555073,458,7076,03/01/2023 07:25,York St / Queens Quay W,7533,03/01/2023 07:33,Housey St / Dan Leckie Way,3369,Annual Member
20555113,111,7260,03/01/2023 07:33,Spadina Ave / Adelaide St W,7260,03/01/2023 07:35,Spadina Ave / Adelaide St W,5226,Casual Member
20555124,225,7683,03/01/2023 07:35,NULL,7169,03/01/2023 07:39,Front St W / Bay St (North Side),2834,Casual Member
20555135,895,7322,03/01/2023 07:37,King St W / Brant St,7152,03/01/2023 07:52,Ossington Ave / Bloor St W,4666,Annual Member
20555170,491,7117,03/01/2023 07:44,640 Bloor Street E,7335,03/01/2023 07:53,Bay St / Bloor St W (West Side),3323,Casual Member
20555180,986,7452,03/01/2023 07:45,Bleecker St / St James Ave,7168,03/01/2023 08:02,Queens Quay / Yonge St,2147,Annual Member
20555237,1516,7090,03/01/2023 07:54,Danforth Ave / Lamb Ave,7055,03/01/2023 08:20,Jarvis St / Carlton St,2847,Casual Member
20555241,492,7027,03/01/2023 07:55,Beverley  St / Dundas St W,7038,03/01/2023 08:03,Dundas St W / Yonge St,1673,Annual Member
20555270,394,7283,03/01/2023 07:59,Front St W / Bay St (South Side),7462,03/01/2023 08:06,Richmond St E / Yonge St,3556,Casual Member
20555323,487,7026,03/01/2023 08:08,Bay St / St. Joseph St,7251,03/01/2023 08:16,The Royal Ontario Museum (Bloor St Entrance),5112,Casual Member
20555336,2049,7607,03/01/2023 08:09,Fairmount Park,7668,03/01/2023 08:44,Simcoe St / Dundas St W - SMART,5081,Casual Member
20555384,620,7720,03/01/2023 08:16,NULL,7283,03/01/2023 08:26,Front St W / Bay St (South Side),137,Casual Member
20555406,1224,7524,03/01/2023 08:18,Lisgar Park,7713,03/01/2023 08:38,NULL,6584,Casual Member
20555408,472,7239,03/01/2023 08:18,Bloor St W / Manning Ave - SMART,7142,03/01/2023 08:26,Bridgeman Ave / Bathurst St,1851,Casual Member
20555434,1589,7258,03/01/2023 08:22,Queen St E / Rushbrooke Ave,7291,03/01/2023 08:48,190 Queens Quay E,3311,Casual Member
20555436,317,7474,03/01/2023 08:22,Clarence Square,7474,03/01/2023 08:27,Clarence Square,4394,Casual Member
20555456,1378,7097,03/01/2023 08:24,Riverdale Park North (Broadview Ave),7015,03/01/2023 08:47,King St W / Bay St (West Side),2697,Annual Member
20555474,414,7196,03/01/2023 08:26,Roxton Rd / Harbord St,7252,03/01/2023 08:33,Robert St / Bloor St W - SMART,2886,Annual Member
20555535,1445,7437,03/01/2023 08:31,Concord Ave / Bloor St W,7323,03/01/2023 08:56,457 King St. W. at Spadina,6176,Casual Member
20555542,892,7691,03/01/2023 08:33,NULL,7007,03/01/2023 08:47,College St / Huron St,1419,Casual Member
20555545,363,7296,03/01/2023 08:33,Westmoreland Ave / Fernbank Ave,7437,03/01/2023 08:39,Concord Ave / Bloor St W,6956,Casual Member
20555553,861,7385,03/01/2023 08:33,20 Charles St E,7683,03/01/2023 08:47,NULL,463,Casual Member
20555562,1427,7137,03/01/2023 08:34,Davenport Rd / Bathurst St,7015,03/01/2023 08:57,King St W / Bay St (West Side),3171,Annual Member
20555574,391,7376,03/01/2023 08:35,Frobisher Ave / Lascelles Blvd,7580,03/01/2023 08:41,Hillsdale Ave W / Yonge St,3511,Casual Member
20555612,730,7463,03/01/2023 08:38,Adelaide St W / Brant St,7274,03/01/2023 08:50,Queen's Park Cres E / Grosvenor St - SMART,6162,Casual Member
20555614,1316,7303,03/01/2023 08:38,Queen St E / Woodward Ave,7164,03/01/2023 09:00,Gould St / Yonge St (Ryerson University),204,Casual Member
20555627,824,7332,03/01/2023 08:38,200 Bloor St. E.,7634,03/01/2023 08:52,University Ave / Gerrard St W (WEST) - SMART,2350,Casual Member
20555672,600,7283,03/01/2023 08:41,Front St W / Bay St (South Side),7028,03/01/2023 08:51,Gould St / Mutual St,137,Casual Member
20555692,1009,7111,03/01/2023 08:43,King St W / Douro St,7015,03/01/2023 09:00,King St W / Bay St (West Side),3703,Annual Member
20555701,361,7418,03/01/2023 08:43,College Park - Yonge St Entrance,7668,03/01/2023 08:49,Simcoe St / Dundas St W - SMART,383,Casual Member
20555714,1702,7378,03/01/2023 08:44,Yonge St / Davisville Ave,7647,03/01/2023 09:12,Elm St/ University Ave (East Side),3254,Casual Member
20555773,620,7375,03/01/2023 08:47,Front St E / Scott St,7047,03/01/2023 08:58,University Ave / Gerrard St W (East Side),1981,Annual Member
20555784,484,7506,03/01/2023 08:48,Berkeley St / Adelaide St E - SMART,7406,03/01/2023 08:56,Victoria St / Queen St E,2984,Casual Member
20555789,829,7119,03/01/2023 08:48,Sumach St / Carlton St. (Riverdale Farm),7118,03/01/2023 09:02,King St W / Bay St (East Side),575,Casual Member
20555829,900,7492,03/01/2023 08:50,324 Cherry St,7357,03/01/2023 09:05,Lake Shore Blvd E / Leslie St,6447,Casual Member
20555866,861,7440,03/01/2023 08:53,Martin Goodman Trail / Ontario Dr,7076,03/01/2023 09:07,York St / Queens Quay W,1784,Casual Member
20555891,311,7373,03/01/2023 08:54,George St / King St E,7284,03/01/2023 08:59,University Ave / King St W - SMART,6205,Annual Member
20555903,316,7188,03/01/2023 08:55,Exhibition GO (Atlantic Ave),7473,03/01/2023 09:00,Adelaide St W / Strachan Ave,3916,Annual Member
20555939,599,7246,03/01/2023 08:58,Yonge St / Bloor St,7066,03/01/2023 09:08,Willcocks St / St. George St,5163,Annual Member
20555940,417,7143,03/01/2023 08:58,Kendal Ave / Bernard Ave,7537,03/01/2023 09:05,Euclid Ave / Herrick St - SMART,4683,Casual Member
20555986,426,7385,03/01/2023 09:02,20 Charles St E,7066,03/01/2023 09:09,Willcocks St / St. George St,981,Casual Member
20555987,315,7419,03/01/2023 09:02,Bloor St W / Huron St,7547,03/01/2023 09:07,Orde St / McCaul St,5530,Casual Member
20556005,1497,7309,03/01/2023 09:04,Queen St. E / Rhodes Ave.,7045,03/01/2023 09:29,Bond St / Queen St E,1657,Annual Member
20556007,518,7505,03/01/2023 09:04,Ontario St / Adelaide St E -SMART,7391,03/01/2023 09:12,Yonge St / Dundas Sq,6559,Casual Member
20556012,446,7685,03/01/2023 09:04,NULL,7005,03/01/2023 09:12,King St W / York St,5382,Casual Member
20556036,621,7462,03/01/2023 09:07,Richmond St E / Yonge St,7399,03/01/2023 09:17,Lower Jarvis / Queens Quay E,5191,Casual Member
20556061,448,7042,03/01/2023 09:09,Sherbourne St / Wellesley St E,7077,03/01/2023 09:16,College Park South,3148,Casual Member
20556072,384,7373,03/01/2023 09:10,George St / King St E,7048,03/01/2023 09:17,Front St W / Yonge St (Hockey Hall of Fame),2638,Annual Member
20556129,1069,7211,03/01/2023 09:17,Fort York Blvd / Garrison Rd,7545,03/01/2023 09:35,Baldwin St / Henry St,5137,Annual Member
20556190,184,7285,03/01/2023 09:26,Spadina Ave / Harbord St - SMART,7250,03/01/2023 09:29,St. George St / Russell St - SMART,3668,Casual Member
20556193,469,7101,03/01/2023 09:26,Lower Sherbourne St / The Esplanade,7443,03/01/2023 09:34,Dundas St E / George St,3844,Casual Member
20556208,187,7143,03/01/2023 09:28,Kendal Ave / Bernard Ave,7140,03/01/2023 09:31,Macpherson Ave / Spadina Rd,2935,Casual Member
20556213,398,7273,03/01/2023 09:30,Bay St / Charles St - SMART,7021,03/01/2023 09:36,Bay St / Albert St,5680,Annual Member
20556217,166,7247,03/01/2023 09:30,Howard Park Ave / Dundas St W - SMART,7178,03/01/2023 09:33,Dundas St W / Edna Ave,3784,Annual Member
20556258,978,7431,03/01/2023 09:37,Gerrard St E / Leslie St,7389,03/01/2023 09:54,College Park- Gerrard Entrance,1448,Casual Member
20556259,328,7366,03/01/2023 09:38,Fort York Blvd / Bathurst St SMART,7054,03/01/2023 09:43,Navy Wharf Ct. / Bremner Blvd.,1565,Casual Member
20556264,173,7716,03/01/2023 09:38,NULL,7283,03/01/2023 09:41,Front St W / Bay St (South Side),560,Casual Member
20556327,343,7337,03/01/2023 09:48,Gerrard Square Mall (1010 Gerrard St E),7286,03/01/2023 09:54,Gerrard St E / Broadview - SMART,926,Casual Member
20556363,643,7530,03/01/2023 09:53,Sherbourne St N / Elm Ave,7190,03/01/2023 10:04,St. George St / Hoskin Ave,3162,Casual Member
20556440,1105,7434,03/01/2023 10:06,Via Italia / Mackay Ave,7442,03/01/2023 10:25,Lonsdale Rd / Spadina Rd,6564,Annual Member
20556478,460,7252,03/01/2023 10:15,Robert St / Bloor St W - SMART,7246,03/01/2023 10:22,Yonge St / Bloor St,1476,Casual Member
20556484,478,7505,03/01/2023 10:15,Ontario St / Adelaide St E -SMART,7015,03/01/2023 10:23,King St W / Bay St (West Side),6554,Casual Member
20556518,1169,7277,03/01/2023 10:21,Chorley Park - SMART,7027,03/01/2023 10:41,Beverley  St / Dundas St W,5232,Casual Member
20556528,497,7321,03/01/2023 10:25,Front St W / University Ave (2),7399,03/01/2023 10:34,Lower Jarvis / Queens Quay E,1763,Casual Member
20556535,2573,7154,03/01/2023 10:27,Bathurst Subway Station,7154,03/01/2023 11:10,Bathurst Subway Station,7213,Casual Member
20556595,733,7505,03/01/2023 10:39,Ontario St / Adelaide St E -SMART,7298,03/01/2023 10:51,Bathurst St / Adelaide St W,1729,Casual Member
20556613,518,7027,03/01/2023 10:45,Beverley  St / Dundas St W,7208,03/01/2023 10:53,80 Clinton St (North of College),5232,Casual Member
20556614,654,7001,03/01/2023 10:45,Wellesley Station Green P,7199,03/01/2023 10:56,College St / Markham St,4360,Casual Member
20556624,453,7027,03/01/2023 10:46,Beverley  St / Dundas St W,7037,03/01/2023 10:54,Bathurst St / Dundas St W,2674,Casual Member
20556626,2653,7015,03/01/2023 10:47,King St W / Bay St (West Side),7103,03/01/2023 11:31,Jimmie Simpson Park (Queen St E),7114,Casual Member
20556706,1334,7719,03/01/2023 11:00,NULL,7104,03/01/2023 11:22,King St E / River St,5089,Casual Member
20556752,197,7062,03/01/2023 11:08,University Ave / College St (West),7263,03/01/2023 11:11,Walton St / Elizabeth St - SMART,4678,Casual Member
20556770,589,7063,03/01/2023 11:11,Queen's Park / Bloor St W,7089,03/01/2023 11:21,Church St  / Wood St,1203,Casual Member
20556829,411,7029,03/01/2023 11:26,Bay St / Bloor St W (East Side),7004,03/01/2023 11:32,University Ave / Elm St,5930,Casual Member
20556831,805,7183,03/01/2023 11:26,St Clarens Ave / College St,7719,03/01/2023 11:39,NULL,5753,Casual Member
20556842,1415,7724,03/01/2023 11:28,NULL,7443,03/01/2023 11:52,Dundas St E / George St,2486,Casual Member
20556844,840,7381,03/01/2023 11:28,Yonge St / Orchard View Blvd,7442,03/01/2023 11:42,Lonsdale Rd / Spadina Rd,7214,Casual Member
20556847,505,7285,03/01/2023 11:29,Spadina Ave / Harbord St - SMART,7281,03/01/2023 11:37,Charles St W / Balmuto St - SMART,5864,Casual Member
20556859,130,7253,03/01/2023 11:32,John St  / Mercer St - SMART,7284,03/01/2023 11:34,University Ave / King St W - SMART,5104,Casual Member
20556869,1158,7150,03/01/2023 11:35,Dufferin St / Sylvan Av (Dufferin Grove Park),7547,03/01/2023 11:54,Orde St / McCaul St,698,Casual Member
20556880,1879,7668,03/01/2023 11:37,Simcoe St / Dundas St W - SMART,7001,03/01/2023 12:09,Wellesley Station Green P,5847,Casual Member
20556887,958,7041,03/01/2023 11:38,Edward St / Yonge St,7054,03/01/2023 11:54,Navy Wharf Ct. / Bremner Blvd.,4910,Casual Member
20556891,1411,7594,03/01/2023 11:39,Fleming Cres / Bayview Ave,7190,03/01/2023 12:02,St. George St / Hoskin Ave,3931,Casual Member
20556892,837,7713,03/01/2023 11:40,NULL,7576,03/01/2023 11:54,Front St E / Bayview Avenue,6584,Annual Member
20556906,539,7044,03/01/2023 11:43,Church St / Alexander St,7056,03/01/2023 11:52,Parliament St / Gerrard St,2988,Annual Member
20556926,773,7272,03/01/2023 11:46,Yonge St / Dundonald St - SMART,7642,03/01/2023 11:59,Yonge St / St Clair Ave,3501,Casual Member
20556951,372,7012,03/01/2023 11:50,Elizabeth St / Edward St (Bus Terminal),7547,03/01/2023 11:57,Orde St / McCaul St,2833,Casual Member
20556955,383,7038,03/01/2023 11:51,Dundas St W / Yonge St,7542,03/01/2023 11:57,Queen St W / John St,66,Annual Member
20556964,391,7033,03/01/2023 11:53,Union Station,7391,03/01/2023 11:59,Yonge St / Dundas Sq,3184,Casual Member
20556979,1339,7368,03/01/2023 11:55,Lisgar St / Dundas St SMART,7250,03/01/2023 12:17,St. George St / Russell St - SMART,5766,Casual Member
20557032,241,7270,03/01/2023 12:03,Church St / Dundas St E - SMART,7462,03/01/2023 12:07,Richmond St E / Yonge St,4832,Casual Member
20557124,427,7035,03/01/2023 12:18,Queen St W / Ossington Ave,7256,03/01/2023 12:25,Vanauley St / Queen St W - SMART,1915,Casual Member
20557182,180,7551,03/01/2023 12:27,The Esplanade / Hahn Pl,7686,03/01/2023 12:30,NULL,414,Annual Member
20557197,400,7076,03/01/2023 12:30,York St / Queens Quay W,7259,03/01/2023 12:36,Lower Spadina Ave / Lake Shore Blvd,4483,Casual Member
20557280,685,7251,03/01/2023 12:40,The Royal Ontario Museum (Bloor St Entrance),7273,03/01/2023 12:52,Bay St / Charles St - SMART,5847,Casual Member
20557311,563,7206,03/01/2023 12:44,Claremont St / Dundas St W,7257,03/01/2023 12:54,Dundas St W / St. Patrick St,6972,Casual Member
20557367,429,7717,03/01/2023 12:53,NULL,7033,03/01/2023 13:00,Union Station,21,Annual Member
20557372,338,7385,03/01/2023 12:55,20 Charles St E,7008,03/01/2023 13:00,Wellesley St / Queen's Park Cres,2422,Casual Member
20557421,820,7208,03/01/2023 13:01,80 Clinton St (North of College),7126,03/01/2023 13:15,Yonge St / Yorkville Ave,4774,Casual Member
20557424,644,7508,03/01/2023 13:02,Berkeley St / Dundas St E - SMART,7263,03/01/2023 13:13,Walton St / Elizabeth St - SMART,4200,Casual Member
20557444,418,7253,03/01/2023 13:05,John St  / Mercer St - SMART,7713,03/01/2023 13:12,NULL,962,Casual Member
20557501,859,7240,03/01/2023 13:14,Bloor St W / Shaw Ave - SMART,7322,03/01/2023 13:28,King St W / Brant St,2564,Annual Member
20557516,1776,7235,03/01/2023 13:16,Bay St / College St (West Side) - SMART,7502,03/01/2023 13:45,University Ave / College St (East),3670,Casual Member
20557551,362,7111,03/01/2023 13:21,King St W / Douro St,7245,03/01/2023 13:27,Tecumseth St / Queen St W - SMART,2809,Casual Member
20557556,875,7114,03/01/2023 13:22,Carlton St / Parliament St,7063,03/01/2023 13:37,Queen's Park / Bloor St W,696,Casual Member
20557564,698,7505,03/01/2023 13:24,Ontario St / Adelaide St E -SMART,7100,03/01/2023 13:36,Dundas St E / Regent Park Blvd,5504,Casual Member
20557567,470,7457,03/01/2023 13:25,Queen's Park Cres W / Hoskin Ave,7263,03/01/2023 13:33,Walton St / Elizabeth St - SMART,7114,Casual Member
20557591,2293,7419,03/01/2023 13:29,Bloor St W / Huron St,7273,03/01/2023 14:08,Bay St / Charles St - SMART,4997,Casual Member
20557622,348,7406,03/01/2023 13:36,Victoria St / Queen St E,7417,03/01/2023 13:42,King St W / Jordan St,674,Casual Member
20557650,1019,7688,03/01/2023 13:41,NULL,7524,03/01/2023 13:58,Lisgar Park,726,Casual Member
20557681,1560,7102,03/01/2023 13:47,Nelson St / Duncan St,7038,03/01/2023 14:13,Dundas St W / Yonge St,356,Casual Member
20557688,366,7208,03/01/2023 13:47,80 Clinton St (North of College),7153,03/01/2023 13:53,Bloor St W / Christie St,3459,Casual Member
20557708,482,7012,03/01/2023 13:50,Elizabeth St / Edward St (Bus Terminal),7281,03/01/2023 13:58,Charles St W / Balmuto St - SMART,5621,Casual Member
20557720,402,7246,03/01/2023 13:52,Yonge St / Bloor St,7002,03/01/2023 13:58,St. George St / Bloor St W,6455,Casual Member
20557725,541,7521,03/01/2023 13:52,Emerson Ave / Bloor St W,7151,03/01/2023 14:01,Essex St / Christie St - SMART,6581,Casual Member
20557792,767,7000,03/01/2023 14:04,Fort York  Blvd / Capreol Ct,7005,03/01/2023 14:16,King St W / York St,6358,Annual Member
20557793,933,7069,03/01/2023 14:04,Queen St W / Spadina Ave,7523,03/01/2023 14:19,Lynn Williams St / East Liberty St - SMART,5684,Casual Member
20557828,1208,7069,03/01/2023 14:09,Queen St W / Spadina Ave,7069,03/01/2023 14:29,Queen St W / Spadina Ave,3651,Casual Member
20557833,2517,7337,03/01/2023 14:10,Gerrard Square Mall (1010 Gerrard St E),7337,03/01/2023 14:52,Gerrard Square Mall (1010 Gerrard St E),7043,Casual Member
20557840,2206,7121,03/01/2023 14:12,Jarvis St / Dundas St E,7280,03/01/2023 14:49,Charles St E / Jarvis St - SMART,7045,Casual Member
20557854,335,7526,03/01/2023 14:15,Bartlett Parkette,7156,03/01/2023 14:20,Salem Ave / Bloor St W,4973,Casual Member
20557954,1629,7286,03/01/2023 14:36,Gerrard St E / Broadview - SMART,7391,03/01/2023 15:03,Yonge St / Dundas Sq,4767,Casual Member
20557968,248,7109,03/01/2023 14:38,Seaton St / Dundas St E - SMART,7270,03/01/2023 14:42,Church St / Dundas St E - SMART,2018,Casual Member
20557978,715,7103,03/01/2023 14:40,Jimmie Simpson Park (Queen St E),7337,03/01/2023 14:52,Gerrard Square Mall (1010 Gerrard St E),5241,Casual Member
20558024,1361,7008,03/01/2023 14:46,Wellesley St / Queen's Park Cres,7077,03/01/2023 15:08,College Park South,7248,Casual Member
20558055,383,7284,03/01/2023 14:50,University Ave / King St W - SMART,7717,03/01/2023 14:56,NULL,3181,Annual Member
20558078,224,7030,03/01/2023 14:53,Bay St / Wellesley St W,7281,03/01/2023 14:57,Charles St W / Balmuto St - SMART,1668,Casual Member
20558090,754,7311,03/01/2023 14:55,Sherbourne St / Isabella St,7389,03/01/2023 15:08,College Park- Gerrard Entrance,2023,Casual Member
20558134,1751,7048,03/01/2023 15:00,Front St W / Yonge St (Hockey Hall of Fame),7169,03/01/2023 15:29,Front St W / Bay St (North Side),4763,Casual Member
20558197,496,7389,03/01/2023 15:08,College Park- Gerrard Entrance,7389,03/01/2023 15:17,College Park- Gerrard Entrance,2023,Casual Member
20558198,420,7533,03/01/2023 15:08,Housey St / Dan Leckie Way,7533,03/01/2023 15:15,Housey St / Dan Leckie Way,2618,Casual Member
20558236,610,7248,03/01/2023 15:14,Baldwin Ave / Spadina Ave - SMART,7038,03/01/2023 15:24,Dundas St W / Yonge St,7103,Casual Member
20558238,655,7035,03/01/2023 15:15,Queen St W / Ossington Ave,7217,03/01/2023 15:26,Soho St / Queen St W,6154,Casual Member
20558257,244,7248,03/01/2023 15:18,Baldwin Ave / Spadina Ave - SMART,7600,03/01/2023 15:22,Russell St / Huron St - SMART,6196,Casual Member
20558290,513,7275,03/01/2023 15:22,Queen St W / James St,7202,03/01/2023 15:31,Queen St W / York St (City Hall),1264,Casual Member
20558295,890,7662,03/01/2023 15:23,Beaty Ave / Queen St W,7204,03/01/2023 15:38,College St / Crawford St,3234,Casual Member
20558299,1388,7047,03/01/2023 15:23,University Ave / Gerrard St W (East Side),7412,03/01/2023 15:47,King St W / Crawford St,4554,Casual Member
20558306,994,7502,03/01/2023 15:25,University Ave / College St (East),7322,03/01/2023 15:41,King St W / Brant St,2312,Casual Member
20558312,686,7263,03/01/2023 15:25,Walton St / Elizabeth St - SMART,7100,03/01/2023 15:37,Dundas St E / Regent Park Blvd,3638,Casual Member
20558315,182,7114,03/01/2023 15:26,Carlton St / Parliament St,7055,03/01/2023 15:29,Jarvis St / Carlton St,7153,Annual Member
20558326,549,7006,03/01/2023 15:27,Bay St / College St (East Side),7170,03/01/2023 15:36,Spadina Ave / Willcocks St,7248,Casual Member
20558375,1751,7680,03/01/2023 15:33,Princes Gate / Nunavut Dr,7682,03/01/2023 16:02,NULL,3866,Annual Member
20558399,605,7031,03/01/2023 15:36,Jarvis St / Isabella St,7710,03/01/2023 15:46,NULL,3979,Casual Member
20558432,1433,7041,03/01/2023 15:40,Edward St / Yonge St,7041,03/01/2023 16:04,Edward St / Yonge St,7109,Casual Member
20558457,916,7005,03/01/2023 15:42,King St W / York St,7433,03/01/2023 15:58,Dundas St E / Boulton Ave - SMART,2202,Casual Member
20558473,292,7239,03/01/2023 15:44,Bloor St W / Manning Ave - SMART,7208,03/01/2023 15:49,80 Clinton St (North of College),2047,Casual Member
20558492,1012,7045,03/01/2023 15:48,Bond St / Queen St E,7264,03/01/2023 16:05,Bloor St E / Huntley St - SMART,62,Annual Member
20558498,666,7078,03/01/2023 15:48,College St / Major St,7685,03/01/2023 15:59,NULL,3187,Casual Member
20558523,709,7320,03/01/2023 15:51,Front St W / University Ave (1),7389,03/01/2023 16:03,College Park- Gerrard Entrance,5568,Casual Member
20558531,580,7248,03/01/2023 15:53,Baldwin Ave / Spadina Ave - SMART,7160,03/01/2023 16:02,King St W / Tecumseth St,3136,Casual Member
20558533,454,7063,03/01/2023 15:53,Queen's Park / Bloor St W,7130,03/01/2023 16:01,Davenport Rd / Bedford Rd,1367,Annual Member
20558540,924,7475,03/01/2023 15:54,Jarvis St / Richmond St E,7046,03/01/2023 16:09,Niagara St / Richmond St W,3291,Annual Member
20558562,313,7010,03/01/2023 15:56,King St W / Spadina Ave,7682,03/01/2023 16:01,NULL,5814,Casual Member
20558582,494,7391,03/01/2023 15:57,Yonge St / Dundas Sq,7418,03/01/2023 16:05,College Park - Yonge St Entrance,3184,Casual Member
20558673,2342,7038,03/01/2023 16:07,Dundas St W / Yonge St,7038,03/01/2023 16:46,Dundas St W / Yonge St,7177,Casual Member
20558729,816,7549,03/01/2023 16:13,439 Sherbourne St,7022,03/01/2023 16:27,Simcoe St / Queen St W,3702,Annual Member
20558741,440,7217,03/01/2023 16:14,Soho St / Queen St W,7007,03/01/2023 16:21,College St / Huron St,5530,Casual Member
20558752,592,7271,03/01/2023 16:14,Yonge St / Alexander St - SMART,7648,03/01/2023 16:24,909 Yonge St,3732,Annual Member
20558771,250,7356,03/01/2023 16:17,King St E / Ontario St.,7099,03/01/2023 16:21,Cherry St / Mill St,5013,Annual Member
20558794,737,7551,03/01/2023 16:20,The Esplanade / Hahn Pl,7103,03/01/2023 16:32,Jimmie Simpson Park (Queen St E),4700,Casual Member
20558814,535,7190,03/01/2023 16:23,St. George St / Hoskin Ave,7281,03/01/2023 16:31,Charles St W / Balmuto St - SMART,3931,Casual Member
20558830,976,7164,03/01/2023 16:25,Gould St / Yonge St (Ryerson University),7041,03/01/2023 16:41,Edward St / Yonge St,7201,Casual Member
20558843,759,7245,03/01/2023 16:27,Tecumseth St / Queen St W - SMART,7333,03/01/2023 16:39,King St E / Victoria St,3111,Casual Member
20558857,336,7322,03/01/2023 16:28,King St W / Brant St,7160,03/01/2023 16:34,King St W / Tecumseth St,4781,Casual Member
20558877,820,7398,03/01/2023 16:30,York St / Lakeshore St W - South,7028,03/01/2023 16:44,Gould St / Mutual St,4982,Annual Member
20558887,1967,7256,03/01/2023 16:31,Vanauley St / Queen St W - SMART,7256,03/01/2023 17:04,Vanauley St / Queen St W - SMART,7041,Casual Member
20558889,99,7010,03/01/2023 16:31,King St W / Spadina Ave,7010,03/01/2023 16:32,King St W / Spadina Ave,5575,Annual Member
20558902,1048,7600,03/01/2023 16:32,Russell St / Huron St - SMART,7193,03/01/2023 16:50,Queen St W / Gladstone Ave,885,Casual Member
20558939,1000,7056,03/01/2023 16:35,Parliament St / Gerrard St,7005,03/01/2023 16:52,King St W / York St,3849,Casual Member
20558941,399,7046,03/01/2023 16:35,Niagara St / Richmond St W,7366,03/01/2023 16:42,Fort York Blvd / Bathurst St SMART,3291,Casual Member
20558949,1584,7406,03/01/2023 16:35,Victoria St / Queen St E,7004,03/01/2023 17:02,University Ave / Elm St,7130,Annual Member
20558962,1174,7374,03/01/2023 16:37,Frederick St / The Esplanade,7235,03/01/2023 16:57,Bay St / College St (West Side) - SMART,1860,Casual Member
20558964,499,7055,03/01/2023 16:37,Jarvis St / Carlton St,7489,03/01/2023 16:46,Sumach St  / Queen St E,5438,Casual Member
20558967,416,7281,03/01/2023 16:38,Charles St W / Balmuto St - SMART,7502,03/01/2023 16:45,University Ave / College St (East),3096,Casual Member
20558989,312,7156,03/01/2023 16:40,Salem Ave / Bloor St W,7150,03/01/2023 16:46,Dufferin St / Sylvan Av (Dufferin Grove Park),5238,Casual Member
20558998,88370,7021,03/01/2023 16:41,Bay St / Albert St,7021,03/02/2023 17:14,Bay St / Albert St,6326,Casual Member
